"","text","emotion","polarity"
"71","out of the abundance of caution we will be closed friday and saturday as an employee has been exposed to a covid…","joy","negative"
"72","anyone thinking that wearing a mask will keep them from getting covid is medically ignorant","anger","neutral"
"73","trillion is about to be spent in the usa on a covid relief package that will pay for itself once the economy p…","joy","positive"
"74","governor hogan announces expansion of covid vaccine eligibility for marylandersand over



maryland","surprise","positive"
"75","all little kids still only call covid “the coronavirus” and they’re right and they should say it","joy","negative"
"76","if you’regoing out in the public you’re definitely going to catch “covid”it’s just is what it is","fear","positive"
"77","trump and his administration avoided a recession by driving the deficit to record high…","anger","neutral"
"78","the covid death toll is even worse than it looksthe wall street journal","fear","negative"
"79","come and see kitakolas live in bigolive dealing with covid","joy","positive"
"80","more covid perspectives from our nation’s manufacturers as moderated by omi’s ned hill","surprise","positive"
"81","its starting to look like the quality trumps coup attempt is on par with
his courtroom challenges of the electio…","anger","neutral"
"82","i actually am for more worried about kelce than hill this is baring any major covid issues with ward","fear","negative"
"83","atshe is the defiant editor of ‘the buzz’","anger","negative"
"84","hey all any unused covid shots not being used let me know and i will be there","anger","positive"
"85","its a little imprudent to share it in the situation of emergency in japan but despite the difficulty we have cre…","joy","negative"
"86","anazing how theyve decided this yet all the players that have been caught breaking the covid rules havent…","fear","positive"
"87","to put it bluntly fucking get your fucking shots you fucking fucks","anger","negative"
"88","may the lord stretch his healing hands on anyone that is sick or have contacted covid and make them whole in je…","fear","neutral"
"89","i just read an obituary that specified the decedent did not die from covid <U+0001F602>in a nutshell","fear","positive"
"90","couldn’t remember which number comes after covid lol","surprise","positive"
"91","work for home to avoid covidearnweekly without sending money to anyone ask me how or inbox me directly","joy","negative"
"92","still going to the grocery store with new virus variants spreading it’s probably time to stop","anger","negative"
"93","my heartburn is out if control also my husband just had a rapid covid test that came back positive fun times","joy","positive"
"94","ralph’s doesn’t even provide covid as a vaccine option in its reg…","fear","positive"
"95","so does heb have like their own version of the covid vaccine like wild red compared to big red cause sometimes wi…","joy","neutral"
"96","joe biden wantstrillion in new covid relief","joy","positive"
"97","covid has never been isolated so why do you insist on disinformation and misinformation fear mongering…","fear","negative"
"98","i think its the covid and the coupvid","surprise","positive"
"99","agreed i was born so premature i have problems in every system covid might be a mercy killing","fear","positive"
"100","wish i had covid when i was eating her out so i couldn’t smell or taste jay that nasty shit <U+0001F923><U+0001F923><U+0001F923>","fear","negative"
"101","…","surprise","positive"
"102","k died of covid while no one died from the flu lol covid only killed the flu and pneumoniascamdemic","fear","positive"
"103","covid update the town of newmarket will reopen all outdoor skating community rinks and allow tobogganing on fr…","anger","positive"
"104","it is related because it’s been proven that obese people a…","disgust","negative"
"105","bloody hell there had to be a covid variant from brazil another twist in this neverending pandemic","fear","negative"
"106","no dumbass those millions of de…","anger","positive"
"107","was just going to do an update on the return of local sports and per usual on this topic down the rabbit hole i w…","surprise","neutral"
"108","this is what they meant when they said lady gaga concert tickets are as hard to get as the covid vaccine","sadness","negative"
"109","bout to have chinese food for first time since covid<U+0001F62C>","joy","positive"
"110","biden unveils the ‘american rescue plan’ includingstimulus checks various other relief intrillion co…","joy","positive"
"111","u sure it was covid","surprise","positive"
"112","pts admitted with covid claiming no sick contacts but clearly they did familycaregiver gets tested because of clo…","fear","positive"
"113","i think pretending to have covid would cause you more of a headache than just going to the dentist at t…","fear","positive"
"114","my perspective we werent going to have a normal inauguration anyway thanks to covid and in a way and i truly h…","joy","neutral"
"115","biden lays outtrillion covid relief package withstimulus checks","joy","positive"
"116","’s failed obamapolicies will tank our economy he won’t even need a covid pandemic it’s gonna be…","sadness","neutral"
"117","queenslanders have been enthusiastically learning about their familyhistory in covid lockdown withspike…","joy","positive"
"118","been out of workweeks because i got covid definitely not rolling in cash right now","joy","neutral"
"119","some wre going to die for lack of beds
just not covid either
any emergency 
that survivable heart attack or car acc…","surprise","negative"
"120","covid deaths are the highest they’ve ever been — and the more infectious variants could make","fear","positive"
"121","as if covid only attacks labelsguess when you have a bulb of air on a set of shoulders you shouldnt expect an…","disgust","negative"
"122","so glad dr henry pushed back against the suggestion that porters in hospitals are not at high risk of covid amp shld…","fear","positive"
"123","some insight into californias covid<U+30FC> hospital bed shortage bythe healthcare system in californ…","fear","neutral"
"124","excluding the covid anxious times i found calgary friendlier than…","fear","negative"
"125","my mom posted this on her ig and i’m sorry but i’m dying laughing rnshe titled it “covid vaccine effects” okay…","sadness","negative"
"126","covid vaccination speed in europe","surprise","positive"
"127","maybe they should try applying for something useful like housekeeping for a hospital’s covid ward","anger","neutral"
"128","trying to make the most of this covid seasonour high school robotics teamis developing a brand new ga…","anger","negative"
"129","bidens covid plan to include billions for vaccine distribution schoolsbiden transition updates","fear","positive"
"130","i can’t wait to go clothes shopping postcovid because i have no idea what size i am in anything anymore","joy","positive"
"131","richmond city councilwoman voices hesitancy about covid vaccine health experts address skepticism in us…","fear","negative"
"132","joe biden just released histrillion covid relief plan – heres whats in itlet’s just start paying w…","fear","neutral"
"133","news is like “ inpeople in la has covid you’re about to hitmillion cases hospitals arecapacity yo…","joy","positive"
"134","why is it that a lot of the symptoms for dka match with covid cause i got one of them","anger","positive"
"135","this is the first time ive heard saskatchewans top doctor entertain the possibility of a fullon lockdown since s…","joy","positive"
"136","if ni start to ramp things up even further i think its more than doable to vaccinate ever…","fear","positive"
"137","no a johns hopkins student site published a newsletter that falsely claim…","surprise","negative"
"138","interesting article about corporations have been the biggest influence on the government during covid","fear","positive"
"139","in this covid times where shifts are mad sm after a long shift drove back that long to show me the way this late…","fear","negative"
"140","honestly not mad at my covid birthday so low key and chill <U+0001F60C>","joy","negative"
"141","why does she command such massive supportshe’s a liaris mired in corru…","surprise","positive"
"142","see how the vaccine rollout is going in your state","surprise","positive"
"143","so i just watched someone do a covid test and violently gaggedand my family say i dont have sensory issues <U+0001F602>","fear","neutral"
"144","lethbridge showsnew cases of covidactive case count increases bytowestsidesouthsidenor…","fear","negative"
"145","s covid relief proposal for education

—b for k schools
—b for higher ed
—b for governors…","joy","positive"
"146","investigating outbreaks helps us understand the impact of covid in kingcounty view updated outbreak data now a…","fear","neutral"
"147","oh ill try to save since my birthday is indays but hardly anyone remembers especial…","joy","negative"
"148","biden to unveiltrillion covid relief plan includingstimulus checksnpr <U+2066><U+2069> <U+2066>…","fear","positive"
"149","imagine the girls in my house think its okay to throw a celebration during a pandemic and lockdown idgaf if they…","fear","positive"
"150","covid poses no more of a threat to children than a common cold <U+0001F644>","anger","negative"
"151","my medical professional peers and my man who’s a firefighter paramedic have told me that if you have high blood pre…","fear","negative"
"152","biden lays outtrillion covid relief package withstimulus checks","joy","positive"
"153","bill for covid

they’re mocking you 

don’t forget thosehijackersyears before the pandemic<U+0001F602><U+0001F602><U+0001F602>","anger","negative"
"154","thanks guys you two singlehandedly caused covid heroes my ass","anger","positive"
"155","please fumigate the white house before joe and kamala move in there is so much covid in that place that it needs to be fumigated","joy","positive"
"156","theres an ongoing concern amongst a lot of health professionals that the government isnt acting on the possibili…","fear","negative"
"157","looks like the government did not get to publish the covid stats today what does it achieve in delaying them unle…","joy","neutral"
"158","it would be in biden’s best interest to ask for more thantrillion because someone will need money to handle th…","sadness","neutral"
"159","and who caused thisyea rightjust like covidyour king of disaster","anger","neutral"
"160","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinf…","fear","positive"
"161","whats that supposed to even mean youre slandering…","anger","negative"
"162","my mother who has diabetes contracted covid from her workplace and before we all knew it the rest of the household…","joy","positive"
"163","anne hathaway races to release locked down covid romcom","surprise","positive"
"164","i think it is time for the federal government to takeover all covid responsibility except for the…","anger","positive"
"165","except that if you look at ons data based on death certificates overha…","anger","negative"
"166","in your articleyou’re inaccurate in stating “apart from weekall ca…","surprise","negative"
"167","covid uk coronavirus deaths rise bywithnew casesuk newssky news","joy","positive"
"168","this former banking executive wanted to help a friend suffering from lupus now he leads a biotech company on the v…","joy","neutral"
"169","hand sanitizer is available throughout the buildings schools have not closed for covid ca…","sadness","positive"
"170","just another day absolutely enthralled by the inexhaustible variety of covid life <U+0001F643>","joy","positive"
"171","comment from the superintendent suggesting covid has resulted in increased violence out of school while i…","anger","positive"
"172","great article","joy","positive"
"173","federal data shows san diego county had the fourth most coronavirus cases and deaths in the past week compared to a…","joy","positive"
"174","i cant keep doing this doctor pleads for review of data during covid","surprise","positive"
"175","if the bus had too many passengers as it pertains to covid limitations they may have switched to runn…","fear","positive"
"176","icymi despite aincrease in manufacturing jobs since the covid outbreak we know people across ontario…","anger","negative"
"177","though it’s not concrete evidence of the covid vaccine’s effectiveness the data shows a sharp drop in the numbe…","anger","neutral"
"178","i have to travel this year to make up for last year so covid need to ahead and dismiss itself","joy","negative"
"179","andhave each received limited amounts of the covid vaccine and each will be…","anger","neutral"
"180","immune people can carry the virus despite being having no symptoms and infect other people savedyouaclick","anger","negative"
"181","no more disgusting than the trump name linked to sedition k covid deaths and two impeachment’s…","anger","neutral"
"182","saturdays nc state v georgia tech game has been postponed due to positive covid test within nc state program","anger","neutral"
"183","previously the students in these rural communities traveled long distances from their homes to schools located in n…","joy","negative"
"184","i would love to know why giant floating hospitals were brought into ny harbor for covid sent by t…","fear","positive"
"185","goodi’d like to get the answer too i think i’ll use the logic of…","joy","positive"
"186","covid is real y’all stay yall tails homebruhlike this ain’t no joke","anger","positive"
"187","minute maid park to serve as vaccination mega site by appointment only","surprise","positive"
"188","let’s start something elise wants to go after cuomo when he’s done so good let’s thank him thankyoucuomo for se…","anger","positive"
"189","no we live in a country that spread covidlike butter so we now have to suffer the consequences for it","fear","neutral"
"190","what ri towns have the highest rate of covid deaths hospitalizations and cases","fear","positive"
"191","postcovid lungs worse than the worst smokers lungs surgeon sayscbs news","fear","negative"
"192","hinshaw says those businesses had to be included in dec closures to reduce the contact between albertans said that…","surprise","positive"
"193","relationships in covid s u c k s","surprise","positive"
"194","rightwingers blood drinking satanist bill gates soros blm one word government g agendaob…","fear","negative"
"195","mibmiziki nowplaying collectif des artistesstop covid","surprise","positive"
"196","would you or someone in your team be interested in discussing helping proliferate play…","disgust","positive"
"197","i need to find a homeschooler because i just know this covid vaccine is about to be required for kids in school","sadness","positive"
"198","build your faith in god’s words and take necessary precautions no covid will come nigh your dwelling place in jesus name","joy","positive"
"199","for the recordas covid cases and deaths continue to climb in the us the pandemic of misin…","fear","positive"
"200","biden to announcechecks and national vaccination program as part oftrillion covidrelief plan","fear","negative"
"201","well george a journalist at todays covid briefing asked her to carry on with these dai…","joy","positive"
"202","exactly shes a female sikora shes found a way to monetize covid denial thr…","joy","negative"
"203","<U+26A0><U+FE0F> free online emergency preparedness training

the covid pandemic challenged the delivery of local preparednes…","fear","positive"
"204","ironically i caught covid one year ago yesterday at the javits center","anger","positive"
"205","my condolences to the friends families and communities of thealbertans we have lost today to covid covidab covid","sadness","negative"
"206","dr shahab may advise the government to bring down a hammer of new public health measures if the province’s unsustai…","fear","positive"
"207","meth is a preventative for covid everything is fine","surprise","positive"
"208","i live in california where fast food is more essential than schoolso my teenager got covid at…","joy","positive"
"209","we are hanging in there my wife and i caught the covid we are fighters but the want us to do this infus…","sadness","positive"
"210","i know a few people got covid here in orange county","surprise","positive"
"211","aftermonths of delaydenial i got iv crohn’s med today i made ceo alex gorsky richer his net worth ismil…","joy","positive"
"212","uk is readying itself to use the drug interferon beta to fight covid in hospitalised patients…","anger","negative"
"213","oh new jersey","surprise","positive"
"214","she took covid vaccine a week ago she is from uk and a very real person
god 
<U+0001F631><U+0001F631><U+0001F97A><U+0001F97A>","joy","positive"
"215","as we host tonight’s rrcouncil meeting both inperson and virtually to adhere to social distancing protocols relat…","anger","positive"
"216","covid <U+0001F440>","surprise","positive"
"217","right covid is cured yaallcome on back to work","joy","positive"
"218","death from covid","anger","negative"
"219","our city had the st covid outbreak on the east coast
we flattened the curve and went all the way down tocases…","fear","negative"
"220","people who recover from covid have been reinfectedso you’re wrong","fear","neutral"
"221","your store on new market in va is so dirty that im worried i will catch covid there now you wan…","sadness","neutral"
"222","oan and fox news are the enabler of deaths whether it be from climate change covid or ins…","fear","positive"
"223","i really wish covid would just go away…","fear","positive"
"224","oh well what if covid gets her","joy","positive"
"225","giletsjaunes <U+0001F621> <U+0001F637> insupportable <U+0001F91C>","surprise","negative"
"226","yo any recs for little covidfriendly rentals driving distance from dc eg cabins etc wifi optional this is for relaxation purposes","joy","negative"
"227","were back baby
new venue new nights new covid safe plan
head to fb insta or team app for all the details…","fear","positive"
"228","son possibly dropping tonight

i guess i’ll be pulling the trigger on son gtgt kdb amp hoping that no more covid nonse…","disgust","positive"
"229","what’s the black market for covid vaccines looking like i’d pay likeextra","joy","negative"
"230","got my first pfizer covidvaccine dose","anger","positive"
"231","was given a chance and chose not to fuck that
the venn diagram of people who dont think covid is rea…","fear","positive"
"232","got my first dose covid vaccine today feeling good about this choice i hope everyone gets the vaccine save lives","joy","positive"
"233","feeling like shit want covid gone so i can get coked up at parties again","sadness","neutral"
"234","upset about parler huh have you talked to your ag about the insurrection bet you dont give a sh…","joy","negative"
"235","this is the exact point i tried to make to a friend i met while dogwalking this afternoon lockdowns may help when…","joy","neutral"
"236","i would contact the labor board since you should be protected under the fmla act since your wife had covid","anger","positive"
"237","aboutpeople a day are dying of covid in the us many say that’s an underestimate those deaths are avoidab…","anger","negative"
"238","covid tory mp warns boris johnson his leadership could be on the tablebut swiftly backs downsky news","joy","positive"
"239","i dont get the being exempt during the war nobody felt the need to be exempt from wearing a gas…","fear","negative"
"240","baba covid by the name sefe be like horror filmna scape goat diseaseother o…","fear","negative"
"241","i pray my dad beats this covid idem manfuck man","joy","positive"
"242","is this the very same quarantine service that has left all covidquarantine decisions up to the states…","fear","negative"
"243","are watching every professional who speaks up for long covid patients desperately hoping they wil…","fear","negative"
"244","tax the rich dammitprogressives are pushing for progressive tax increases to address covidrelated funding g…","anger","neutral"
"245","how are the covid symptoms today","surprise","positive"
"246","if he wasn’t party to the fraud those soldiers would be home safe with their families i pray…","joy","neutral"
"247","for the recordas covid cases and deaths continue to climb in the us the pandemic of mis…","fear","positive"
"248","imagine that an actual fucking plan","fear","positive"
"249","entering phaseupdate pfizer has been approved by philippine fda as ofkindly read this link<U+0001F447><U+0001F3FB>…","joy","positive"
"250","here are some great resources re covid from the maricopa democraticparty of arizona","joy","positive"
"251","nh peopleand older can register for covid vaccine next week","joy","positive"
"252","icymi vfl shazzon bradley joinedandon sportstalk to talk about his battle with covi…","anger","negative"
"253","this won’t help anything but anything to push for covid numbers to go up so you can feel in control to…","fear","positive"
"254","every person should geta month not because of covid just because its a good system that helps people and…","joy","positive"
"255","a little surprised by the move now as clubs probably will spend more this summer assuming covid is un…","joy","neutral"
"256","after seeing his meeting with civil rights leaders not surprised and seems that joe biden will make minorities an…","joy","positive"
"257","i wonder what arthur b sleigh would think of his newspaperyears on","surprise","positive"
"258","fuck cancer fuck covid and fuck the government <U+203C><U+FE0F>","fear","negative"
"259","i blame covid brain for the falling joke i just didnt want to share a screenshot of my tax amp bank info<U+0001F602>","anger","neutral"
"260","you must readthis
doctor’s death after covid vaccine is being investigated","disgust","negative"
"261","latino black children twice as likely to endure multiple covidrelated hardships","anger","negative"
"262","walmart temporarily closes a store in long beach for covid sanitizing","joy","negative"
"263","covid measures also suppress flu—for now","anger","negative"
"264","side  i just read a really interesting article about using the covid vaccines mrna technology for c…","fear","positive"
"265","my intrusive thought of the day is someone with covid spit in my food","disgust","negative"
"266","jokes on you guys i’ve seen my mom giving herself the covid vaccine multiple times as a child","joy","neutral"
"267","and they’re removing the use of an anesthetic when it’s argued covid could make the injection even more painful the…","fear","neutral"
"268","sorry for no dbd this afternoon my mother amp step father were rushed to the hospital with covidboth placed in…","sadness","negative"
"269","of total cases have fully recovered andof total cases have died the rest of the reported cases are sti…","joy","negative"
"270","the underlying dynamics that made the abnormality of college football during a global health crisis possible were…","joy","negative"
"271","staff member was contacted to self isolate after visiting woolies covid they tracked him down via his woolies rewards card","fear","negative"
"272","unfortunately the situation in america is completely different to australia covid wise 
it is what it is…","sadness","neutral"
"273","<U+0001F633><U+0001F30E>texas trauma surgeon says ‘postcovid lungs look worse than any type of","fear","negative"
"274","hardly anyone is using the covid tracer app something needs to change do your duty people","anger","negative"
"275","read article got to bottom copysend url and it’s a different article’s link
if you scroll slowly you’ll see url…","fear","negative"
"276","they can’t leave the bay area fast enoughthe new york times","anger","positive"
"277","covid cares about your reservation","surprise","negative"
"278","the ons figures on deathswk show excess deaths about day above the …","surprise","negative"
"279","my only living grandmother got the covid vaccine today","joy","positive"
"280","oregon daily covid cases at start ofweek pause


oregon daily covid cases afterweek paus…","fear","positive"
"281","sandrachris how was the first day of lockdown for you 
pour yourself a bottle of wine and enjoy this covid slo…","joy","positive"
"282","snuck through at peak of covid first wave","joy","positive"
"283","sorry your vaccine is poison it’s going to kill more people than covid i wouldn’t take it ever","fear","negative"
"284","like a true georgian when the body aches and chills from my second covid vaccine set in i took a goody powder cond…","joy","positive"
"285","a tornado blew our house away inini have been workinghour days to develop treatme…","fear","positive"
"286","daily telegraph rebuked over toby youngs covid column","surprise","positive"
"287","have heard of five different instances of people being potentially exposed to covid in the lasthours including…","surprise","negative"
"288","biden lays outtrillion covid relief package withstimulus checks","joy","positive"
"289","chicago and new york miraculously not caring about covid anymore and coincidentally wanting to open back up now","sadness","positive"
"290","covid is still alive and welljust let him go on i would have laid his ass out tho","disgust","positive"
"291","seven residents in quebec got coviddays after first vaccine dose guess first dose ffective","anger","positive"
"292","people died yesterday from covid in the uk<U+0001F494>","sadness","positive"
"293","according to this","surprise","positive"
"294","the number of people actively battling covid in bc fell for the fifth consecutive day to the lowest total sin…","sadness","negative"
"295","roy died back in may of covid
rip","sadness","positive"
"296","the only way russia is not winning the team event in skating if all there skaters have covid which is totally possible","joy","negative"
"297","alberta eases some covid restrictions","surprise","positive"
"298","new research characteristics of covid patients based on the results of nucleic acid and specific antibodies and…","surprise","positive"
"299","missing my flight because a covid clinic ghosted meis there anything i can do is a new top post on rlegalad…","surprise","negative"
"300","my husband and son have always been amazed at how easy it is to go on vacation in a way it was m…","joy","neutral"
"301","apparently the shooting doesn’t really start when the looting starts trump and his aides are looting the white ho…","fear","positive"
"302","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinfor…","fear","positive"
"303","not a vaccineit’s an experimental therapy all candidates monitored until trial…","surprise","positive"
"304","regulator refuses to approve mass daily covid testing at english schools","fear","positive"
"305","postcovid lungs worse than the worst smokers lungs surgeon says","fear","negative"
"306","ontario declares emergency amid surging covid cases as canada buys more vaccines","fear","positive"
"307","very good documentary on possible china covid coverup made by the bbc

satellite images around wuha…","joy","positive"
"308","oh brother our covid cases are through the roof no one isn’t trying to “take your guns”abbot is the worst","fear","negative"
"309","yay today i had my firstout of two covid vaccines i’ve never been so happy to have a shot","joy","positive"
"310","will let this one slide <U+0001F61C>","fear","positive"
"311","if you did there would be no chance of a trampoline didnt you know they are more dangerous than covid","fear","neutral"
"312","we gotta get smarter about labels folks

masking pneumonia reality of the novel coronavirus allowed for hostile t…","anger","neutral"
"313","he doesn’t have to give endlesshe is giving what usa hasn’tsee the other countries covid…","joy","positive"
"314","you can catch covid anywhere and still that’s no excuse to not stay home","joy","neutral"
"315","these traitors also considered covid a hoax wonder how they feel about it now that prison a hot spot for covid looms","anger","negative"
"316","money should be no issue for government to procure covid vaccines experts say","anger","positive"
"317","how when didand thedevelop amp approve a new test to incorporate the new stra…","disgust","positive"
"318","did something bad happen todaywell my buddy got covid but besides that no tellonym","anger","negative"
"319","like watching paint dry but at least the process is unfolding","joy","neutral"
"320","years after covid is gone and i’m still gonna be like “sorry can’t go to your party i’m social distancing”","joy","positive"
"321","ini droppedlbsbig thing i learned there was how to eat well and in moderati…","anger","positive"
"322","m lives lost globally to covid terrible covid coronavirus","fear","negative"
"323","for sure i went through this with my grandfather as well last year but because covid kept me apart…","joy","neutral"
"324","yes all while hessnowballing floridians that hes working sooo hard at dispensing covidvac…","anger","negative"
"325","wont the az significantly reduce viral load therefore lead to far less transmission do you think a zero co…","disgust","neutral"
"326","can employers require employees to get the covid vaccine can an employee refuse to return to work if his or her…","joy","negative"
"327","with the current climate trumpism has consumed all the excitement formillion who did not vote for him and aren…","joy","positive"
"328","professional and front line workers are the right people to put the world to rights regarding covid just listen to…","joy","positive"
"329","keep in mind once you preregister for the covid vaccine with aph the site might show that there are no vaccine…","joy","negative"
"330","i can’t believe i have to say this but thosedeaths are just covid deaths they…","surprise","positive"
"331","trumps partner in allowing covid to run wild","joy","negative"
"332","read comments

they can’t leave the bay area fast enough","fear","positive"
"333","wondering what the bamlanivimab buzz is all about therecently authorized this new drug treatment for eme…","fear","positive"
"334","dont touch your face covid its out there","anger","negative"
"335","cnbc bidenstrillion covid relief plan calls for stimulus checks unemployment support and more…","joy","positive"
"336","you should lock the education dept shame on you destroy the future of students and could not make a c…","sadness","negative"
"337","a year into the pandemic a big simple difference between china and the west is clear on average chinese people a…","joy","positive"
"338","lack of taste buds is a symptom of covid","disgust","negative"
"339","until i know my appointment datetime for my covid test i’m staying in bed and playing minecraft and not talking t…","anger","positive"
"340","i cant believe i have to contend with covid deniers in this day of our lord january","disgust","negative"
"341","shameful no mention bbc questiontime prioritygroups covid vaccination discussionthoserisk…","sadness","negative"
"342","kid had an aches and pains one that knocked him for a week just before christmashis coworker who al…","joy","neutral"
"343","dont worry this would mean the jobs would get offshore and no tax revenue for us fr…","sadness","negative"
"344","back to reality amp i have so many things to do <U+0001F62F><U+0001F62F><U+0001F644> starting with yet another covid test for precaution","disgust","positive"
"345","covidneedstrillion again this is how they mock you","anger","negative"
"346","one being in the covid board too extremely frustrating","anger","negative"
"347","wondering what the bamlanivimab buzz is all about therecently authorized this new drug treatment for eme…","fear","positive"
"348","player health amp well being was clearly the last thought on your thick corrupt brain if one single hi…","fear","negative"
"349","covid predominately kills old people 
most of the deaths are in long term ca…","disgust","negative"
"350","covidcops mess with the wrong woman","disgust","negative"
"351","seriously lol cuz its her job to make covid positive people stay home no that is between them and their doctors…","joy","negative"
"352","checked in forandin an occohio contestthe greyhounds who have…","surprise","positive"
"353","anyone know if you can attend dsa meetings from home i mean in the era of covid they must be doi…","disgust","neutral"
"354","i’m tryna see sumn 
are you planning on getting the covid vaccine","surprise","positive"
