"","x"
"74","governor hogan announces expansion of covid vaccine eligibility for marylandersand over



maryland"
"75","all little kids still only call covid “the coronavirus” and they’re right and they should say it"
"76","if you’regoing out in the public you’re definitely going to catch “covid”it’s just is what it is"
"77","trump and his administration avoided a recession by driving the deficit to record high…"
"78","the covid death toll is even worse than it looksthe wall street journal"
"79","come and see kitakolas live in bigolive dealing with covid"
"80","more covid perspectives from our nation’s manufacturers as moderated by omi’s ned hill"
"81","its starting to look like the quality trumps coup attempt is on par with
his courtroom challenges of the electio…"
"82","i actually am for more worried about kelce than hill this is baring any major covid issues with ward"
"83","atshe is the defiant editor of ‘the buzz’"
"84","hey all any unused covid shots not being used let me know and i will be there"
"85","its a little imprudent to share it in the situation of emergency in japan but despite the difficulty we have cre…"
"86","anazing how theyve decided this yet all the players that have been caught breaking the covid rules havent…"
"87","to put it bluntly fucking get your fucking shots you fucking fucks"
"88","may the lord stretch his healing hands on anyone that is sick or have contacted covid and make them whole in je…"
"89","i just read an obituary that specified the decedent did not die from covid <U+0001F602>in a nutshell"
"90","couldn’t remember which number comes after covid lol"
"91","work for home to avoid covidearnweekly without sending money to anyone ask me how or inbox me directly"
"92","still going to the grocery store with new virus variants spreading it’s probably time to stop"
"93","my heartburn is out if control also my husband just had a rapid covid test that came back positive fun times"
"94","ralph’s doesn’t even provide covid as a vaccine option in its reg…"
"95","so does heb have like their own version of the covid vaccine like wild red compared to big red cause sometimes wi…"
"96","joe biden wantstrillion in new covid relief"
"97","covid has never been isolated so why do you insist on disinformation and misinformation fear mongering…"
"98","i think its the covid and the coupvid"
"99","agreed i was born so premature i have problems in every system covid might be a mercy killing"
"100","wish i had covid when i was eating her out so i couldn’t smell or taste jay that nasty shit <U+0001F923><U+0001F923><U+0001F923>"
"101","…"
"102","k died of covid while no one died from the flu lol covid only killed the flu and pneumoniascamdemic"
"103","covid update the town of newmarket will reopen all outdoor skating community rinks and allow tobogganing on fr…"
"104","it is related because it’s been proven that obese people a…"
"105","bloody hell there had to be a covid variant from brazil another twist in this neverending pandemic"
"106","no dumbass those millions of de…"
"107","was just going to do an update on the return of local sports and per usual on this topic down the rabbit hole i w…"
"108","this is what they meant when they said lady gaga concert tickets are as hard to get as the covid vaccine"
"109","bout to have chinese food for first time since covid<U+0001F62C>"
"110","biden unveils the ‘american rescue plan’ includingstimulus checks various other relief intrillion co…"
"111","u sure it was covid"
"112","pts admitted with covid claiming no sick contacts but clearly they did familycaregiver gets tested because of clo…"
"113","i think pretending to have covid would cause you more of a headache than just going to the dentist at t…"
"114","my perspective we werent going to have a normal inauguration anyway thanks to covid and in a way and i truly h…"
"115","biden lays outtrillion covid relief package withstimulus checks"
"116","’s failed obamapolicies will tank our economy he won’t even need a covid pandemic it’s gonna be…"
"117","queenslanders have been enthusiastically learning about their familyhistory in covid lockdown withspike…"
"118","been out of workweeks because i got covid definitely not rolling in cash right now"
"119","some wre going to die for lack of beds
just not covid either
any emergency 
that survivable heart attack or car acc…"
"120","covid deaths are the highest they’ve ever been — and the more infectious variants could make"
"121","as if covid only attacks labelsguess when you have a bulb of air on a set of shoulders you shouldnt expect an…"
"122","so glad dr henry pushed back against the suggestion that porters in hospitals are not at high risk of covid amp shld…"
"123","some insight into californias covid<U+30FC> hospital bed shortage bythe healthcare system in californ…"
"124","excluding the covid anxious times i found calgary friendlier than…"
"125","my mom posted this on her ig and i’m sorry but i’m dying laughing rnshe titled it “covid vaccine effects” okay…"
"126","covid vaccination speed in europe"
"127","maybe they should try applying for something useful like housekeeping for a hospital’s covid ward"
"128","trying to make the most of this covid seasonour high school robotics teamis developing a brand new ga…"
"129","bidens covid plan to include billions for vaccine distribution schoolsbiden transition updates"
"130","i can’t wait to go clothes shopping postcovid because i have no idea what size i am in anything anymore"
"131","richmond city councilwoman voices hesitancy about covid vaccine health experts address skepticism in us…"
"132","joe biden just released histrillion covid relief plan – heres whats in itlet’s just start paying w…"
"133","news is like “ inpeople in la has covid you’re about to hitmillion cases hospitals arecapacity yo…"
"134","why is it that a lot of the symptoms for dka match with covid cause i got one of them"
"135","this is the first time ive heard saskatchewans top doctor entertain the possibility of a fullon lockdown since s…"
"136","if ni start to ramp things up even further i think its more than doable to vaccinate ever…"
"137","no a johns hopkins student site published a newsletter that falsely claim…"
"138","interesting article about corporations have been the biggest influence on the government during covid"
"139","in this covid times where shifts are mad sm after a long shift drove back that long to show me the way this late…"
"140","honestly not mad at my covid birthday so low key and chill <U+0001F60C>"
"141","why does she command such massive supportshe’s a liaris mired in corru…"
"142","see how the vaccine rollout is going in your state"
"143","so i just watched someone do a covid test and violently gaggedand my family say i dont have sensory issues <U+0001F602>"
"144","lethbridge showsnew cases of covidactive case count increases bytowestsidesouthsidenor…"
"145","s covid relief proposal for education

—b for k schools
—b for higher ed
—b for governors…"
"146","investigating outbreaks helps us understand the impact of covid in kingcounty view updated outbreak data now a…"
"147","oh ill try to save since my birthday is indays but hardly anyone remembers especial…"
"148","biden to unveiltrillion covid relief plan includingstimulus checksnpr <U+2066><U+2069> <U+2066>…"
"149","imagine the girls in my house think its okay to throw a celebration during a pandemic and lockdown idgaf if they…"
"150","covid poses no more of a threat to children than a common cold <U+0001F644>"
"151","my medical professional peers and my man who’s a firefighter paramedic have told me that if you have high blood pre…"
"152","biden lays outtrillion covid relief package withstimulus checks"
"153","bill for covid

they’re mocking you 

don’t forget thosehijackersyears before the pandemic<U+0001F602><U+0001F602><U+0001F602>"
"154","thanks guys you two singlehandedly caused covid heroes my ass"
"155","please fumigate the white house before joe and kamala move in there is so much covid in that place that it needs to be fumigated"
"156","theres an ongoing concern amongst a lot of health professionals that the government isnt acting on the possibili…"
"157","looks like the government did not get to publish the covid stats today what does it achieve in delaying them unle…"
"158","it would be in biden’s best interest to ask for more thantrillion because someone will need money to handle th…"
"159","and who caused thisyea rightjust like covidyour king of disaster"
"160","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinf…"
"161","whats that supposed to even mean youre slandering…"
"162","my mother who has diabetes contracted covid from her workplace and before we all knew it the rest of the household…"
"163","anne hathaway races to release locked down covid romcom"
"164","i think it is time for the federal government to takeover all covid responsibility except for the…"
"165","except that if you look at ons data based on death certificates overha…"
"166","in your articleyou’re inaccurate in stating “apart from weekall ca…"
"167","covid uk coronavirus deaths rise bywithnew casesuk newssky news"
"168","this former banking executive wanted to help a friend suffering from lupus now he leads a biotech company on the v…"
"169","hand sanitizer is available throughout the buildings schools have not closed for covid ca…"
"170","just another day absolutely enthralled by the inexhaustible variety of covid life <U+0001F643>"
"171","comment from the superintendent suggesting covid has resulted in increased violence out of school while i…"
"172","great article"
"173","federal data shows san diego county had the fourth most coronavirus cases and deaths in the past week compared to a…"
"174","i cant keep doing this doctor pleads for review of data during covid"
"175","if the bus had too many passengers as it pertains to covid limitations they may have switched to runn…"
"176","icymi despite aincrease in manufacturing jobs since the covid outbreak we know people across ontario…"
"177","though it’s not concrete evidence of the covid vaccine’s effectiveness the data shows a sharp drop in the numbe…"
"178","i have to travel this year to make up for last year so covid need to ahead and dismiss itself"
"179","andhave each received limited amounts of the covid vaccine and each will be…"
"180","immune people can carry the virus despite being having no symptoms and infect other people savedyouaclick"
"181","no more disgusting than the trump name linked to sedition k covid deaths and two impeachment’s…"
"182","saturdays nc state v georgia tech game has been postponed due to positive covid test within nc state program"
"183","previously the students in these rural communities traveled long distances from their homes to schools located in n…"
"184","i would love to know why giant floating hospitals were brought into ny harbor for covid sent by t…"
"185","goodi’d like to get the answer too i think i’ll use the logic of…"
"186","covid is real y’all stay yall tails homebruhlike this ain’t no joke"
"187","minute maid park to serve as vaccination mega site by appointment only"
"188","let’s start something elise wants to go after cuomo when he’s done so good let’s thank him thankyoucuomo for se…"
"189","no we live in a country that spread covidlike butter so we now have to suffer the consequences for it"
"190","what ri towns have the highest rate of covid deaths hospitalizations and cases"
"191","postcovid lungs worse than the worst smokers lungs surgeon sayscbs news"
"192","hinshaw says those businesses had to be included in dec closures to reduce the contact between albertans said that…"
"193","relationships in covid s u c k s"
"194","rightwingers blood drinking satanist bill gates soros blm one word government g agendaob…"
"195","mibmiziki nowplaying collectif des artistesstop covid"
"196","would you or someone in your team be interested in discussing helping proliferate play…"
"197","i need to find a homeschooler because i just know this covid vaccine is about to be required for kids in school"
"198","build your faith in god’s words and take necessary precautions no covid will come nigh your dwelling place in jesus name"
"199","for the recordas covid cases and deaths continue to climb in the us the pandemic of misin…"
"200","biden to announcechecks and national vaccination program as part oftrillion covidrelief plan"
"201","well george a journalist at todays covid briefing asked her to carry on with these dai…"
"202","exactly shes a female sikora shes found a way to monetize covid denial thr…"
"203","<U+26A0><U+FE0F> free online emergency preparedness training

the covid pandemic challenged the delivery of local preparednes…"
"204","ironically i caught covid one year ago yesterday at the javits center"
"205","my condolences to the friends families and communities of thealbertans we have lost today to covid covidab covid"
"206","dr shahab may advise the government to bring down a hammer of new public health measures if the province’s unsustai…"
"207","meth is a preventative for covid everything is fine"
"208","i live in california where fast food is more essential than schoolso my teenager got covid at…"
"209","we are hanging in there my wife and i caught the covid we are fighters but the want us to do this infus…"
"210","i know a few people got covid here in orange county"
"211","aftermonths of delaydenial i got iv crohn’s med today i made ceo alex gorsky richer his net worth ismil…"
"212","uk is readying itself to use the drug interferon beta to fight covid in hospitalised patients…"
"213","oh new jersey"
"214","she took covid vaccine a week ago she is from uk and a very real person
god 
<U+0001F631><U+0001F631><U+0001F97A><U+0001F97A>"
"215","as we host tonight’s rrcouncil meeting both inperson and virtually to adhere to social distancing protocols relat…"
"216","covid <U+0001F440>"
"217","right covid is cured yaallcome on back to work"
"218","death from covid"
"219","our city had the st covid outbreak on the east coast
we flattened the curve and went all the way down tocases…"
"220","people who recover from covid have been reinfectedso you’re wrong"
"221","your store on new market in va is so dirty that im worried i will catch covid there now you wan…"
"222","oan and fox news are the enabler of deaths whether it be from climate change covid or ins…"
"223","i really wish covid would just go away…"
"224","oh well what if covid gets her"
"225","giletsjaunes <U+0001F621> <U+0001F637> insupportable <U+0001F91C>"
"226","yo any recs for little covidfriendly rentals driving distance from dc eg cabins etc wifi optional this is for relaxation purposes"
"227","were back baby
new venue new nights new covid safe plan
head to fb insta or team app for all the details…"
"228","son possibly dropping tonight

i guess i’ll be pulling the trigger on son gtgt kdb amp hoping that no more covid nonse…"
"229","what’s the black market for covid vaccines looking like i’d pay likeextra"
"230","got my first pfizer covidvaccine dose"
"231","was given a chance and chose not to fuck that
the venn diagram of people who dont think covid is rea…"
"232","got my first dose covid vaccine today feeling good about this choice i hope everyone gets the vaccine save lives"
"233","feeling like shit want covid gone so i can get coked up at parties again"
"234","upset about parler huh have you talked to your ag about the insurrection bet you dont give a sh…"
"235","this is the exact point i tried to make to a friend i met while dogwalking this afternoon lockdowns may help when…"
"236","i would contact the labor board since you should be protected under the fmla act since your wife had covid"
"237","aboutpeople a day are dying of covid in the us many say that’s an underestimate those deaths are avoidab…"
"238","covid tory mp warns boris johnson his leadership could be on the tablebut swiftly backs downsky news"
"239","i dont get the being exempt during the war nobody felt the need to be exempt from wearing a gas…"
"240","baba covid by the name sefe be like horror filmna scape goat diseaseother o…"
"241","i pray my dad beats this covid idem manfuck man"
"242","is this the very same quarantine service that has left all covidquarantine decisions up to the states…"
"243","are watching every professional who speaks up for long covid patients desperately hoping they wil…"
"244","tax the rich dammitprogressives are pushing for progressive tax increases to address covidrelated funding g…"
"245","how are the covid symptoms today"
"246","if he wasn’t party to the fraud those soldiers would be home safe with their families i pray…"
"247","for the recordas covid cases and deaths continue to climb in the us the pandemic of mis…"
"248","imagine that an actual fucking plan"
"249","entering phaseupdate pfizer has been approved by philippine fda as ofkindly read this link<U+0001F447><U+0001F3FB>…"
"250","here are some great resources re covid from the maricopa democraticparty of arizona"
"251","nh peopleand older can register for covid vaccine next week"
"252","icymi vfl shazzon bradley joinedandon sportstalk to talk about his battle with covi…"
"253","this won’t help anything but anything to push for covid numbers to go up so you can feel in control to…"
"254","every person should geta month not because of covid just because its a good system that helps people and…"
"255","a little surprised by the move now as clubs probably will spend more this summer assuming covid is un…"
"256","after seeing his meeting with civil rights leaders not surprised and seems that joe biden will make minorities an…"
"257","i wonder what arthur b sleigh would think of his newspaperyears on"
"258","fuck cancer fuck covid and fuck the government <U+203C><U+FE0F>"
"259","i blame covid brain for the falling joke i just didnt want to share a screenshot of my tax amp bank info<U+0001F602>"
"260","you must readthis
doctor’s death after covid vaccine is being investigated"
"261","latino black children twice as likely to endure multiple covidrelated hardships"
"262","walmart temporarily closes a store in long beach for covid sanitizing"
"263","covid measures also suppress flu—for now"
"264","side  i just read a really interesting article about using the covid vaccines mrna technology for c…"
"265","my intrusive thought of the day is someone with covid spit in my food"
"266","jokes on you guys i’ve seen my mom giving herself the covid vaccine multiple times as a child"
"267","and they’re removing the use of an anesthetic when it’s argued covid could make the injection even more painful the…"
"268","sorry for no dbd this afternoon my mother amp step father were rushed to the hospital with covidboth placed in…"
"269","of total cases have fully recovered andof total cases have died the rest of the reported cases are sti…"
"270","the underlying dynamics that made the abnormality of college football during a global health crisis possible were…"
"271","staff member was contacted to self isolate after visiting woolies covid they tracked him down via his woolies rewards card"
"272","unfortunately the situation in america is completely different to australia covid wise 
it is what it is…"
"273","<U+0001F633><U+0001F30E>texas trauma surgeon says ‘postcovid lungs look worse than any type of"
"274","hardly anyone is using the covid tracer app something needs to change do your duty people"
"275","read article got to bottom copysend url and it’s a different article’s link
if you scroll slowly you’ll see url…"
"276","they can’t leave the bay area fast enoughthe new york times"
"277","covid cares about your reservation"
"278","the ons figures on deathswk show excess deaths about day above the …"
"279","my only living grandmother got the covid vaccine today"
"280","oregon daily covid cases at start ofweek pause


oregon daily covid cases afterweek paus…"
"281","sandrachris how was the first day of lockdown for you 
pour yourself a bottle of wine and enjoy this covid slo…"
"282","snuck through at peak of covid first wave"
"283","sorry your vaccine is poison it’s going to kill more people than covid i wouldn’t take it ever"
"284","like a true georgian when the body aches and chills from my second covid vaccine set in i took a goody powder cond…"
"285","a tornado blew our house away inini have been workinghour days to develop treatme…"
"286","daily telegraph rebuked over toby youngs covid column"
"287","have heard of five different instances of people being potentially exposed to covid in the lasthours including…"
"288","biden lays outtrillion covid relief package withstimulus checks"
"289","chicago and new york miraculously not caring about covid anymore and coincidentally wanting to open back up now"
"290","covid is still alive and welljust let him go on i would have laid his ass out tho"
"291","seven residents in quebec got coviddays after first vaccine dose guess first dose ffective"
"292","people died yesterday from covid in the uk<U+0001F494>"
"293","according to this"
"294","the number of people actively battling covid in bc fell for the fifth consecutive day to the lowest total sin…"
"295","roy died back in may of covid
rip"
"296","the only way russia is not winning the team event in skating if all there skaters have covid which is totally possible"
"297","alberta eases some covid restrictions"
"298","new research characteristics of covid patients based on the results of nucleic acid and specific antibodies and…"
"299","missing my flight because a covid clinic ghosted meis there anything i can do is a new top post on rlegalad…"
"300","my husband and son have always been amazed at how easy it is to go on vacation in a way it was m…"
"301","apparently the shooting doesn’t really start when the looting starts trump and his aides are looting the white ho…"
"302","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinfor…"
"303","not a vaccineit’s an experimental therapy all candidates monitored until trial…"
"304","regulator refuses to approve mass daily covid testing at english schools"
"305","postcovid lungs worse than the worst smokers lungs surgeon says"
"306","ontario declares emergency amid surging covid cases as canada buys more vaccines"
"307","very good documentary on possible china covid coverup made by the bbc

satellite images around wuha…"
"308","oh brother our covid cases are through the roof no one isn’t trying to “take your guns”abbot is the worst"
"309","yay today i had my firstout of two covid vaccines i’ve never been so happy to have a shot"
"310","will let this one slide <U+0001F61C>"
"311","if you did there would be no chance of a trampoline didnt you know they are more dangerous than covid"
"312","we gotta get smarter about labels folks

masking pneumonia reality of the novel coronavirus allowed for hostile t…"
"313","he doesn’t have to give endlesshe is giving what usa hasn’tsee the other countries covid…"
"314","you can catch covid anywhere and still that’s no excuse to not stay home"
"315","these traitors also considered covid a hoax wonder how they feel about it now that prison a hot spot for covid looms"
"316","money should be no issue for government to procure covid vaccines experts say"
"317","how when didand thedevelop amp approve a new test to incorporate the new stra…"
"318","did something bad happen todaywell my buddy got covid but besides that no tellonym"
"319","like watching paint dry but at least the process is unfolding"
"320","years after covid is gone and i’m still gonna be like “sorry can’t go to your party i’m social distancing”"
"321","ini droppedlbsbig thing i learned there was how to eat well and in moderati…"
"322","m lives lost globally to covid terrible covid coronavirus"
"323","for sure i went through this with my grandfather as well last year but because covid kept me apart…"
"324","yes all while hessnowballing floridians that hes working sooo hard at dispensing covidvac…"
"325","wont the az significantly reduce viral load therefore lead to far less transmission do you think a zero co…"
"326","can employers require employees to get the covid vaccine can an employee refuse to return to work if his or her…"
"327","with the current climate trumpism has consumed all the excitement formillion who did not vote for him and aren…"
"328","professional and front line workers are the right people to put the world to rights regarding covid just listen to…"
"329","keep in mind once you preregister for the covid vaccine with aph the site might show that there are no vaccine…"
"330","i can’t believe i have to say this but thosedeaths are just covid deaths they…"
"331","trumps partner in allowing covid to run wild"
"332","read comments

they can’t leave the bay area fast enough"
"333","wondering what the bamlanivimab buzz is all about therecently authorized this new drug treatment for eme…"
"334","dont touch your face covid its out there"
"335","cnbc bidenstrillion covid relief plan calls for stimulus checks unemployment support and more…"
"336","you should lock the education dept shame on you destroy the future of students and could not make a c…"
"337","a year into the pandemic a big simple difference between china and the west is clear on average chinese people a…"
"338","lack of taste buds is a symptom of covid"
"339","until i know my appointment datetime for my covid test i’m staying in bed and playing minecraft and not talking t…"
"340","i cant believe i have to contend with covid deniers in this day of our lord january"
"341","shameful no mention bbc questiontime prioritygroups covid vaccination discussionthoserisk…"
"342","kid had an aches and pains one that knocked him for a week just before christmashis coworker who al…"
"343","dont worry this would mean the jobs would get offshore and no tax revenue for us fr…"
"344","back to reality amp i have so many things to do <U+0001F62F><U+0001F62F><U+0001F644> starting with yet another covid test for precaution"
"345","covidneedstrillion again this is how they mock you"
"346","one being in the covid board too extremely frustrating"
"347","wondering what the bamlanivimab buzz is all about therecently authorized this new drug treatment for eme…"
"348","player health amp well being was clearly the last thought on your thick corrupt brain if one single hi…"
"349","covid predominately kills old people 
most of the deaths are in long term ca…"
"350","covidcops mess with the wrong woman"
"351","seriously lol cuz its her job to make covid positive people stay home no that is between them and their doctors…"
"352","checked in forandin an occohio contestthe greyhounds who have…"
"353","anyone know if you can attend dsa meetings from home i mean in the era of covid they must be doi…"
"354","i’m tryna see sumn 
are you planning on getting the covid vaccine"
"355","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinformati…"
"356","my best friend ofyears since college hockey he was a damn good goalie just died of covid i hate this fu…"
"357","covid brazil hospitals run out of oxygen for virus patientssmartnews"
"358","coworker came in monday amp tuesday sounding like death amp coughing after pleas from others in the office he was fina…"
"359","documentary on oneyear anniversary of taiwans fight against covid"
"360","you can get your covid test any time betweenam andpm in the pac concourse on friday jan"
"361","sign this petition to presidentelect biden asking him to issue an executive order banning evictions and utility sh…"
"362","and covid ignorance <U+270A><U+0001F3FE>"
"363","thread brazil is ranked number two in the world lists of covid fatalities behind the usa but that is almost cert…"
"364","you know what i misscentro before covid<U+0001F61E>"
"365","currently her role as sylvia llewelyn davies in finding neverland i am very much covid compromised…"
"366","covid"
"367","some of these ppl that work in thesefast food restaurants won’t get paid for being out with covid smfh that’s stupid af"
"368","rsa conferencegoes all virtual due to covid"
"369","covid isn’t a hoax people are dying shut up kyle"
"370","do u know how strong u gotta be to be study taking exams online support your grandparentsw c bombvery un…"
"371","from your lips to gods earif all victims of foxs intentionally false covid coverage sue they will go out of business"
"372","governor abbott the covid vaccine but for guns"
"373","prayers please i have been sick all year with pneumonia covid"
"374","rep adriano espaillat diagnosed with covid after getting vaccine"
"375","nasa keeps the stem lessons going from homeiste"
"376","cspcontest

i thought one of the best smiles is when we thanked in a pandemic called covid i drew the woman…"
"377","yikesi just moved to ut from the bay area and the lack of masks is astonishingi’m wondering if pe…"
"378","the ratio isnt nearly strong enough for this tweet but im here to do my part 
how about instead o…"
"379","avgdeaths covid per day once we have herd immunity we’ll everyone gets job back right back to gym back t…"
"380","covidtwelvety"
"381","due to covid protocols south carolina head coach frank martin will not be in attendance for lsus matchup satu…"
"382","took memonths to gain lbsthat is record breaking cause normally it would’ve taken meyearsso idk…"
"383","thousands of unnecessary deaths all for the purpose of perpetuating the covid hysteria through election day"
"384","clayton state indoor track and field season canceled over covid concerns"
"385","really what happened to k deathsday what happened to the nd wave what happened to q…"
"386","thats called the covid"
"387","antivaccine doctor joined attack on capitol"
"388","the maddening red tape facing older people who want the vaccine in new york its utterly impossible"
"389","gt incredibly relevant right now we mustn’t forget that those in hosp…"
"390","another case of not following science or statistics in handling this pandemic most of the lives lost are…"
"391","covid claire<U+0001F631><U+0001F631><U+0001F631>"
"392","<U+2066><U+2069> took mycovid shots tonight"
"393","it says if covid is included on the death certificate can u not read"
"394","for the recordas covid cases and deaths continue to climb in the us the pandemic of misinform…"
"395","you said there’s unused vaccine appointments for healthcare workers i work on a covid unit and have…"
"396","year old fitness influencer dmitriy died from covid he thought that covid did not existthen he got sick…"
"397","coronavirus updates biden to give speech on pandemic as daily death toll again exceeds"
"398","i don’t wanna get covid tho so it’s a no from me"
"399","correct we’ve got them getting things back to zero several times and maintaining restrictions and ot…"
"400","if i dont get an achievement unlocked didnt get covid once this pandemic is over im calling xbox"
"401","covid vaccine stocks that could trounce pfizer and moderna instocks nvax pfe mrna bntx…"
"402","alberta loosening covid gathering restrictions on mondaycovidab"
"403","biden has made clear that borrowers need relief especially during covid"
"404","good news the us is doing better than most of its peer countries at getting shots in arms

bad news there are…"
"405","my neighbor got covid <U+0001F627>"
"406","if you watch the mainstream media they will only tell you about covid deaths they wont tell you that as of jan…"
"407","in an alternative universepresident hillary clinton is being brought into congress to answer for the less than …"
"408","<U+0001F6A8>omafra has approved the allocation ofmillion in financial support to riding schools trail and therapeutic rid…"
"409","let me give u more then coloured hair best at beating covid most gl and bl produce then half of my fa…"
"410","trees can’t get covid omg lady watch apacolypse now later"
"411","politico biden’s heralded covid board has no idea what his plan is either"
"412","cz we don’t know what we are saying plus most pull this out oh president says this new thing is why can’t we cure…"
"413","according to south carolina head coach frank martin assistant coach chuck martin and doug edwards who handles s…"
"414","information on covid vaccine eligibility and availability is available on our site"
"415","everybody gets a covid coin from the gift shop"
"416","the problem with that is people like me that have had cov…"
"417","duhsantis needs to bring his sorry azz back to fl and figure out this clusterphuck h…"
"418","agreed on being inured to mass death

my entire thing is

 we’ve already had k deaths w…"
"419","yes but i can finally know peace i’m lowkey judging every single texas reporter on the covid beat…"
"420","i’m noti’m just telling u to chill with attack bcos u knew covid was out there but u were out jammin…"
"421","since yesterdayadditional children betweenenjoyed their first week in school by going to the hospital wi…"
"422","most pro life president ever but letpeople die from covidas a result of his attempted coup…"
"423","and not just because of covid i mean i’ve just become more anxious socially even if i’m with close friends i’ve known for years"
"424","yes nyc sue for your rights to catch covid 
eventually nobody will fucking be alive to even come out to eat but g…"
