"","x"
"32","@AdamGausepohl @Burchoff @Randy070707 @garyblack00 @EforElectric He might be right but remember Covid is good for Moderna share price."
"33","@Redray18 @deray Deans List during a covid semester should count TWICE! Congrats!"
"34","I am fully convinced that these movie productions were still going on during the peak of Covid because there is toooooooo much content out"
"35","@next_china Meanwhile something else in US is also in high gear :Covid. The country is flooded with Virus. With 22… https://t.co/uWz3ccJUb3"
"36","When covid is “over”, I will be renting out a cabin in gatlinburg with my best friends and their friends and we are… https://t.co/M84T0eei6F"
"37","@billboard @joshuatbassett Work for home to avoid covid 19 earn $2500 weekly without sending money to anyone Ask Me How OR Inbox me directly"
"38","WCSD looks for volunteers to help immunize thousands of employees https://t.co/5WDPZaukrU via @rgj"
"39","Usually emails from school are about COVID. Tonight it’s a blizzard. Next week: Grasshoppers https://t.co/Ruo9UrNnhJ"
"40","Seriously. Stop going to these. These states are reporting record Covid cases daily and hospitals are at capacity.… https://t.co/7UBb3Zyczw"
"41","@TheToddCollins @12thManPWill @AggieFootball Well I do not like hypothetical situations but saying covid made zero… https://t.co/xDm7aAwZw2"
"42","Disney during a pandemic: Yeah we will keep it open, we like money. 
People: *Go to Disneyland and spread Covid thr… https://t.co/BKwKeos0m7"
"43","New Connect Care BytesBlog posting:  COVID-19 and Connect Care - Accessing Public Health Act Forms  (https://t.co/0PzrWv1HL3)"
"44","She took covid vaccine a week ago....... She is from US and a very real person....
God!!! 
,<U+0001F631><U+0001F631><U+0001F97A><U+0001F97A> https://t.co/GypPyS7zBn"
"45","Couldn’t agree more. I have been out of work since April due to covid. https://t.co/FKr4AJBuE3"
"46","I need to know if covid is planning on going away anytime soon ? https://t.co/LmAV2AzEeF"
"47","@canadaman0051 @ClarityToast i also write to random folks on facebook, insta, linkedin, stocktwits...i'm retired an… https://t.co/vrg9Sln8Hf"
"48","@SouthwestAir Sep 21st 15 day virus, mimicked covid tested twice negative, still ran a fever, diagnosed with acute… https://t.co/e0Kp2Mg04n"
"49","Colorado COVID Cases Increase To 369,177 Deaths To 5,316 - Colorado (2019-nCoV) - Recombinomics Inc. https://t.co/7l59nUHFb9"
"50","Covid rahh <U+0001F629><U+0001F62D> God has hidden us from this deadly pestilence &amp; we should just be thanking Him. Nothing to quarrel ab… https://t.co/rKO4IlQfZo"
"51","Why soon as I drank that soda from mc Donald’s my stomach started hurting and I had to go to the bathroom? Do I see… https://t.co/PNgPjsYHHP"
"52","Watching DC become a fortress I feel bad that Joe Biden and Kamala Harris will not be able to celebrate their inaug… https://t.co/taU4PtxH79"
"53","Jokes... Radio-Canada head travelled to Florida despite federal travel advisory https://t.co/TKm9PdaZmi"
"54","Post-COVID lungs worse than the worst smokers' lungs, surgeon says - CBS News https://t.co/z5NtnKDtJP"
"55","Some a dem elderly people ya no fraid a covid or a done dem just done wid life"
"56","@nestyZK then covid became serious in early march and thens when i had to chill lol <U+0001F62D>"
"57","COVID-19 infection gives some immunity, but virus can still be spread, study finds | Reuters https://t.co/LNKLcxO4MR"
"58","California Department of Public Health https://t.co/d3MnDpLdLA"
"59","Nearly a year ago, Trump sent a mercy ship and you reneged,
sending covid patients into
nursing homes #PUSSHEAD… https://t.co/R3mvj1vNb5"
"60","welp after completely emotionally WRECKING my six-year-old by letting her watch The Phantom of the Opera we're all… https://t.co/Zk552AX0qR"
"61","Biden lays out $1.9 trillion Covid relief package with $1,400 stimulus checks  https://t.co/NO3ZnD1oje"
"62","@CarrollJackie99 @TOrynski I'd guess three days if it ties in with a covid test but ?"
"63","Did you lost this much quantum of soldiers in any war yet  ? China has killed  more than  your 384000  Americans by… https://t.co/dLB30SBoKn"
"64","Daily Updates (2021/01/14): US 

Cases: 222.9 k (LW: 269.3 k)
7-day avg: 234252 (LW: 225510)

Deaths: 3,915 (LW: 4,… https://t.co/zG0Vxhxdmx"
"65","I wanna go to the mountains for my bday<U+0001F97A>
If y’all have ever stayed in a nice cabin, send me that link!! I won’t be… https://t.co/QcrEaI4061"
"66","How has covid changed the #payment sector? The pandemic has significantly accelerated the shift towards #digital pa… https://t.co/gStr7xcyGh"
"67","@Leigh_Phillips Friend commented a few weeks ago we'd be benefitting for decades from the knowledge gained with the… https://t.co/oB4l0YX8pO"
"68","was telling my mom i might drop off my grandma a meal or something cause covid and she told me that my grandmother… https://t.co/qPlCxVE4En"
"69","Another U Turn arriving soon!
https://t.co/G0z675mTFo"
"70","@AB_MD_WarRoom See the appointment is for you. Not for covid. So it can’t come in."
"71","Out of the abundance of caution, we will be closed Friday and Saturday as an employee has been exposed to a COVID-1… https://t.co/r5rNOxyPwS"
"72","@FaltheG Anyone thinking that wearing a mask will keep them from getting covid is medically ignorant."
"73","$1.9 TRILLION is about to be spent in the USA on a Covid relief package that will pay for itself once the economy p… https://t.co/FxTpidfZZy"
"74","Governor Hogan Announces Expansion of COVID-19 Vaccine Eligibility for Marylanders 65 and Over

https://t.co/8cK5YleCwE

#Maryland"
"75","all little kids still only call covid “the coronavirus” and they’re right and they should say it"
"76","If you’re  going out in the public you’re definitely going to catch “covid” ... it’s just is what it is...."
"77","@Nicolas03974588 @TomiLahren Trump and his administration avoided a recession by driving the deficit to record high… https://t.co/X8OhNtpIJM"
"78","The Covid-19 Death Toll Is Even Worse Than It Looks - The Wall Street Journal https://t.co/5oBQQYemmL"
"79","Come and see Kitakola's LIVE in #BIGOLIVE: Dealing with Covid    https://t.co/L7PKo3IFOG
https://t.co/6qXENczoje https://t.co/gKiBMO2CJY"
"80","More COVID-19 perspectives from our nation’s manufacturers, as moderated by OMI’s Ned Hill:  https://t.co/EANwB1kqAm"
"81","It's starting to look like the quality Trump's coup attempt is on par with:
His courtroom challenges of the electio… https://t.co/XvMtysg2w2"
"82","@therealtbone3 @Asmith_31 I actually am for more worried about kelce than hill.. this is baring any major covid issues with ward.."
"83","At 80, She Is the Defiant Editor of ‘The Buzz’ https://t.co/FdUYT6jbYW"
"84","Hey all! Any unused COVID-19 shots not being used? Let me know and I will be there!"
"85","It's a little imprudent to share it in the situation of emergency in Japan, but despite the difficulty, we have cre… https://t.co/TZlHOqVFlB"
"86","@GNev2 Anazing how they've decided this, yet all the players that have been caught breaking the covid rules haven't… https://t.co/4mBxndNyyB"
"87","To put it bluntly: fucking get your fucking shots you fucking fucks.

https://t.co/jNiaKLDFF5"
"88","May the Lord stretch His healing hands on anyone that is sick or have contacted covid-19 and make them whole, in Je… https://t.co/cppgcHUc40"
"89","I just read an obituary that specified the decedent did not die from covid-19 <U+0001F602> 2020 in a nutshell"
"90","Couldn’t remember which number comes after Covid lol"
"91","@cryptocom Work for home to avoid covid 19 earn $2500 weekly without sending money to anyone Ask Me How OR Inbox me directly"
"92","Still going to the grocery store? With new virus variants spreading, it’s probably time to stop. https://t.co/BXXwJzm7VC"
"93","@rabiasquared My heartburn is out if control. Also my husband just had a rapid COVID test that came back positive. Fun times."
"94","@PeakJinx @rmhagen @JeffHorseman @DavidDowneySCNG Ralph’s doesn’t even provide covid as a vaccine option in its reg… https://t.co/dREhRmA9OC"
"95","So does HEB have like their own version of the Covid vaccine? Like wild red compared to big red, cause sometimes wi… https://t.co/dqSfWo4QEA"
"96","Joe Biden wants $1.9 TRILLION in new COVID-19 relief https://t.co/LjoxDUfCDE via @MailOnline"
"97","@Ptbohealth Covid has never been isolated so why do you insist on disinformation and misinformation .Fear mongering… https://t.co/2PhBk6kIZG"
"98","@602Erik @CoachDecember @MollyJongFast I think it's the covid and the coup-vid."
"99","@GriffinBlakely @Mikeggibbs Agreed. I was born so premature I have problems in every system covid might be a mercy killing"
"100","wish I had covid when I was eating her out so I couldn’t smell or taste jay that nasty shit <U+0001F923><U+0001F923><U+0001F923>"
"101","@Cern_lXXl @verniejim @JohnKrahn2 @willsworldview @Lincolngrox @zypisfy @Wolfpak561 @SplinterSimba @yourmomspants1… https://t.co/X8bhIGYEgr"
"102","@PrezPelosi @amanduhgomez @wcp 390K died of covid? while no one died from the flu lol, covid only killed the flu and pneumonia.  #scamdemic"
"103","COVID-19 UPDATE: The Town of Newmarket will reopen all outdoor skating, community rinks and allow tobogganing on Fr… https://t.co/tj9pGYPZ3R"
"104","@LeftwardUS @stephaniemedira @JoeySFromCO @gatewaypundit It is related because it’s been proven that obese people a… https://t.co/1DEz0N1kbC"
"105","Bloody hell, there had to be a #Covid variant from #Brazil. Another twist in this never-ending #pandemic."
"106","@FaivaTaufa @_MoistOintment_ @Jacoblamb1364 @LosBlancoEhsan @KamalaHarris @JoeBiden No dumbass those millions of de… https://t.co/gAW3tUMk08"
"107","Was just going to do an update on the return of local sports, and per usual on this topic, down the rabbit hole I w… https://t.co/4CK4wB9eMO"
"108","This is what they meant when they said Lady Gaga concert tickets are as hard to get as the covid vaccine https://t.co/4ps0DMP7Cs"
"109","Bout to have Chinese food for first time since covid<U+0001F62C>."
"110","Biden unveils the ‘American Rescue Plan’ including $1,400 stimulus checks, various other relief in $1.9 trillion CO… https://t.co/S7RzUAeQsu"
"111","@PlaIism u sure it was covid"
"112","Pts admitted with COVID claiming no sick contacts but clearly they did. Family/caregiver gets tested because of clo… https://t.co/B2YCcSxFjr"
"113","@Kirinodere I think pretending to have covid would cause you more of a headache than just going to the dentist at t… https://t.co/MS7vkuojH5"
"114","My perspective? We weren't going to have a normal inauguration anyway, thanks to COVID. And in a way (and I truly h… https://t.co/hp2t0G4iil"
"115","Biden lays out $1.9 trillion Covid relief package with $1,400 stimulus checks https://t.co/KDvhLoa4Zk via @nbcnews"
"116","@JoeBiden’s failed Obama 2.0 policies will tank our economy. He won’t even need a Covid-19 pandemic. It’s gonna be… https://t.co/VPXBCE5AyM"
"117","Queenslanders have been enthusiastically #learning about their #familyhistory in #COVID-19 lockdown with 22% spike… https://t.co/MrUD4uHlHc"
"118","@dhershiser @LockeUnfiltered Been out of work 2 weeks because I got covid, definitely not rolling in cash right now."
"119","Some wre going to die for lack of beds
Just not COVID either
Any emergency 
That survivable heart attack or car acc… https://t.co/cg8a574o6C"
"120","Covid-19 deaths are the highest they’ve ever been — and the more infectious variants could make... https://t.co/axcerutxe1 via @statnews"
"121","As if Covid only attacks labels....Guess when you have a bulb of air on a set of shoulders, you shouldn't expect an… https://t.co/Kk7Egcmh2T"
"122","So glad Dr. Henry pushed back against the suggestion that porters in hospitals are not at high risk of Covid &amp; shld… https://t.co/Z9paXjzFBH"
"123","Some insight into California's #COVID<U+30FC>19 hospital bed shortage, by @olgakhazan: ""The health-care system in Californ… https://t.co/Tr0jsrKrL5"
"124","@aggieloveseggs @DustinMorris13 @Homegrowngirl2 Excluding the COVID anxious times, I found Calgary friendlier than… https://t.co/m1AsP0T7WX"
"125","My mom posted this on her ig and I’m sorry but I’m dying laughing rn ??? she titled it “covid vaccine effects” okay… https://t.co/PN80MIGBD9"
"126","Covid vaccination speed in Europe: https://t.co/mSS8ryTzFV"
"127","@jchaltiwanger @businessinsider Maybe they should try applying for something useful like housekeeping for a hospital’s COVID ward."
"128","Trying to make the most of this #covid season---our high school robotics team @frc6045 is developing a brand new ga… https://t.co/OwIexCeoEP"
"129","Biden's Covid-19 Plan To Include Billions For Vaccine Distribution, Schools : Biden Transition Updates 

https://t.co/WVdZ5hPGL4"
"130","I can’t wait to go clothes shopping post-Covid because I have no idea what size I am in anything anymore"
"131","Richmond City Councilwoman voices hesitancy about COVID-19 vaccine, health experts address skepticism in U.S.… https://t.co/2FZz8v4rlr"
"132","Joe Biden just released his $1.9 trillion Covid relief plan – here's what's in it @CNBC.  Let’s just start paying w… https://t.co/5eiv0a1tbE"
"133","News is like “1 in 3 people in L.A. has covid, you’re about to hit 1 million cases, hospitals are 300% capacity, yo… https://t.co/j29ePSY664"
"134","Why is it that a lot of the symptoms for DKA match with COVID? Cause I got one of them"
"135","This is the first time I've heard Saskatchewan's top doctor entertain the possibility of a full-on lockdown since s… https://t.co/RaJlnCvTKt"
"136","@fact_covid @1nationtory If NI start to ramp things up even further I think its more than do-able to vaccinate ever… https://t.co/Esp2VCNGj8"
"137","@kingkevin3333 @DrAdrov @rob_miller12345 No. A Johns Hopkins student site published a newsletter that falsely claim… https://t.co/ApuADJDKK9"
"138","Interesting article about corporations have been the biggest influence on the government during Covid.  https://t.co/4Xtj3e6L2q"
"139","In this Covid times where shifts are mad? Sm1 after a long shift drove back that long to show me the way this late?… https://t.co/DDMCi1USnc"
"140","Honestly not mad at my COVID birthday. So low key and chill <U+0001F60C>"
"141","@RalphieBag @GmaRichards2007 @Bibbeth6 Why does she command such massive support ? She’s a liar , is mired in corru… https://t.co/TfedMe5VWg"
"142","See How the Vaccine Rollout Is Going in Your State via @NYTimes https://t.co/ESnhCf1v32"
"143","So I just watched someone do a covid test and violently gagged.....and my family say I DONT have sensory issues <U+0001F602>"
"144","Lethbridge shows 13 new cases of COVID-19 - active case count increases by 5 to 123 (Westside 36, Southside 54, Nor… https://t.co/Kr5Jb7fGej"
"145",".@JoeBiden's covid relief proposal for education:

—$130B for K-12 schools
—$35B for higher ed
—$5B for governors… https://t.co/O42aw1uG1U"
"146","Investigating outbreaks helps us understand the impact of COVID-19 in #KingCounty. View updated outbreak data now a… https://t.co/EAHPc81Db5"
"147","@Mexican_Trash1 @MarsKiller0 oh Ill try to save since my birthday is in 4 days but hardly anyone remembers especial… https://t.co/5BzKJfkvLu"
"148","Biden to unveil $1.9 trillion COVID-19 relief plan, including $1,400 stimulus checks - NPR <U+2066>@KelliSmith15<U+2069> <U+2066>… https://t.co/Hh6iugTZPK"
"149","Imagine the girls in my house think its okay to throw a ""celebration"" during a pandemic and lockdown. Idgaf if they… https://t.co/wiCMjPwgn6"
"150","@freckle_red @SocialistMMA @peterdaou Covid poses no more of a threat to children, than a common cold <U+0001F644>"
"151","My medical professional peers and my man who’s a firefighter paramedic have told me that if you have high blood pre… https://t.co/55lMdnh116"
"152","Biden lays out $1.9 trillion Covid relief package with $1,400 stimulus checks  https://t.co/LAn2yBufe1"
"153","@Yamiche $1.9 bill for COVID-19

They’re mocking you 

Don’t forget those 19 hijackers 19 years before the pandemic...<U+0001F602><U+0001F602><U+0001F602>"
"154","@DiscussingFilm Thanks guys. You two single-handedly caused COVID-19. Heroes my ass."
"155","@NBCNews PLEASE! FUMIGATE THE WHITE HOUSE BEFORE JOE AND KAMALA MOVE IN. THERE IS SO MUCH COVID IN THAT PLACE THAT IT NEEDS TO BE FUMIGATED!"
"156","""There's an ongoing concern amongst a lot of health professionals that the Government isn't acting on the possibili… https://t.co/mKxcOv9OEq"
"157","Looks like the government did not get to publish the Covid stats today. What does it achieve in delaying them? Unle… https://t.co/68C3Ex55Pw"
"158","It would be in Biden’s best interest to ask for more than 1.9 trillion because someone will need money to handle th… https://t.co/aYkLgQ46oP"
"159","@VP @IngrahamAngle 
And who caused this?Yea Right!Just like COVID-19!Your king of disaster! https://t.co/K44t2SIaUr"
"160","@MarkMaremont   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISINF… https://t.co/H7UWiDO96O"
"161","@grumpybaldy @covid_500 @PeterFaberSP @Max46023367 @sapiofoxxy What's that supposed to even mean? You're slandering… https://t.co/0ZOFbRerGn"
"162","My mother who has diabetes contracted covid from her workplace and before we all knew it the rest of the household… https://t.co/Z7ooYZZfMn"
"163","Anne Hathaway races to release 'Locked Down' COVID-19 rom-com - https://t.co/Xp0h4kzbau"
"164","@ScottMorrisonMP I think it is time for the federal government to takeover all covid responsibility except for the… https://t.co/UqrGicOujS"
"165","@Binkum @NeilDotObrien @toadmeister Except that, if you look at ONS data (based on death certificates), over 87% ha… https://t.co/ZFy30wTLCo"
"166","@DrDJWilde @hartgroup_org @DrDJWilde in your article 11/20, you’re inaccurate in stating “apart from week 17 all ca… https://t.co/ZpBIHIGiEv"
"167","COVID-19: UK coronavirus deaths rise by 1,248 - with 48,682 new cases | UK News | Sky News https://t.co/n2522wCyIF"
"168","This Former Banking Executive Wanted to Help a Friend Suffering From Lupus. Now He Leads a BioTech Company on the V… https://t.co/AHPUjJHZjf"
"169","@TinaG_SD @angrybklynmom Hand sanitizer is available throughout the buildings. Schools have not closed for COVID ca… https://t.co/DdVxGYS8fp"
"170","just another day absolutely enthralled by the inexhaustible variety of COVID life <U+0001F643>"
"171","@GlobalBC Comment from the Superintendent suggesting Covid has resulted in increased violence out of school while i… https://t.co/tGODgC0i5s"
"172","Great article! https://t.co/06sbkExTqc"
"173","Federal data shows San Diego County had the fourth most coronavirus cases and deaths in the past week compared to a… https://t.co/kwdch9nnJj"
"174","""I CAN'T KEEP DOING THIS"": Doctor pleads for review of data during COVID... https://t.co/ezZlvcDqUn via @YouTube"
"175","@cpmontecino If the bus had too many passengers as it pertains to COVID limitations, they may have switched to runn… https://t.co/VKNaESKgt9"
"176","ICYMI: Despite a 30,000 increase in #manufacturing jobs since the COVID-19 outbreak, we know people across Ontario… https://t.co/6PQBdxEhUQ"
"177","Though it’s not concrete evidence of the COVID-19 vaccine’s effectiveness, the data shows a sharp drop in the numbe… https://t.co/or3Hb93P0S"
"178","I have to travel this year to make up for last year so Covid need to ahead and dismiss itself"
"179",".@KnoxHealth, @KnoxCommHosp and @kroger have each received limited amounts of the COVID-19 vaccine and each will be… https://t.co/J4DNjeFJfK"
"180","Immune people can carry the virus despite being having no symptoms and infect other people. #savedyouaclick https://t.co/SJ62ijVmnz"
"181","@DonaldJTrumpJr No more disgusting than the Trump name linked to sedition, 386k COVID deaths, and two impeachment’s… https://t.co/8VlLRpCBxy"
"182","Saturday's NC State v Georgia Tech game has been postponed due to positive COVID test within NC State program."
"183","Previously the students in these rural communities traveled long distances from their homes to schools located in n… https://t.co/K68sfWnBTB"
"184","@ZaleskiLuke @CNN I would love to know why giant floating hospitals were brought into NY harbor for Covid sent by t… https://t.co/d2l8mS2jC6"
"185","@GhostGirlsKim @DavidBegnaud @chrislhayes @VP Good ? I’d like to get the answer too. I think I’ll use the logic of… https://t.co/ZYVvnB5CRt"
"186","Covid is real, y’all stay yall tails home  bruh ! Like this ain’t no joke"
"187","Minute Maid Park to serve as vaccination mega site by appointment only https://t.co/eXUfM4c77J"
"188","Let’s start something. Elise wants to go after Cuomo when he’s done so good. Let’s thank him. #thankyoucuomo for se… https://t.co/kKx9RBC6QC"
"189","@dragonram7924 @Blog_Mickey No, we live in a country that spread covid 19 like butter so we now have to suffer the consequences for it"
"190","What RI towns have the highest rate of COVID deaths, hospitalizations and cases? https://t.co/5Ks45y2M7t"
"191","Post-COVID lungs worse than the worst smokers' lungs, surgeon says - CBS News https://t.co/CalTIl6WyI via @GoogleNews"
"192","Hinshaw says those businesses had to be included in Dec closures to reduce the contact between Albertans. Said that… https://t.co/BI3asimj81"
"193","Relationships in covid S U C K S"
"194","@Breaking911 Right-wingers: blood drinking Satanist, bill gates, Soros, blm, one word government, 5g, Agenda 21, Ob… https://t.co/BGUMbknk95"
"195","#MibMiziki #NowPlaying #Collectif des artistes 229 - Stop Covid https://t.co/jT025uYprC"
"196","@Akon @michael_saylor @Akon would you or someone in your team be interested in discussing helping proliferate play… https://t.co/67sSc8TjhP"
"197","I need to find a homeschooler because I just know this covid vaccine is about to be required for kids in school"
"198","@Sisi_Yemmie Build your faith in God’s words and take necessary precautions. No Covid will come nigh your dwelling place in Jesus name"
"199","@TaxFoundation   For The Record - As COVID-19 cases and deaths continue to climb in the U.S., the PANDEMIC OF MISIN… https://t.co/QG1P0DFq1w"
"200","Biden to announce $1,400 checks and national vaccination program as part of $1.9 trillion Covid-relief plan https://t.co/7PFopmaAVl"
"201","@GeorgeFoulkes @BBCScotland Well George, a journalist at todays COVID briefing asked her to carry on with these dai… https://t.co/9ULvRCFMQq"
"202","@JamesFThomas1 @AsdaServiceTeam @asda Exactly she's a female Sikora, she's found a way to monetize covid denial thr… https://t.co/d0GbEBhRkt"
"203","<U+26A0><U+FE0F> Free Online Emergency Preparedness Training!

The COVID-19 pandemic challenged the delivery of local preparednes… https://t.co/GSPt16EdQA"
"204","Ironically, I caught COVID one year ago yesterday at the Javits Center. https://t.co/SKxajVSxJL"
"205","My condolences to the friends, families, and communities of the 21 Albertans we have lost today to COVID-19. #COVID19AB #COVID19"
"206","Dr Shahab may advise the government to bring down a hammer of new public health measures if the province’s unsustai… https://t.co/kSrPLik8yP"
"207","@MissFit_ Meth is a preventative for Covid. Everything is fine."
"208","@IAmTheActualET I live in California, where fast food is more essential than school -- so my teenager got COVID at… https://t.co/87Z4FStODB"
"209","@navy1990 We are hanging in there my wife and I caught the covid. We are fighters. But the want us to do this infus… https://t.co/cTYZXhCnUC"
"210","@teragramus @NewYorker i know a few people got covid here in orange county."
"211","After 3 months of delay/denial I got IV Crohn’s med today. I made CEO Alex Gorsky richer. His net worth is $670 mil… https://t.co/RbsE9aqVMt"
"212","@talius @Thomas4192 UK is readying itself to use the drug interferon beta to fight covid in hospitalised patients,… https://t.co/aX9CtFTHvV"
"213","Oh, New Jersey...

https://t.co/oURVct4ON9"
"214","She took covid vaccine a week ago....... She is from UK and a very real person....
God!!! 
,<U+0001F631><U+0001F631><U+0001F97A><U+0001F97A>
 https://t.co/VOdBVUZSLm"
"215","As we host tonight’s #RRCouncil meeting both in-person and virtually to adhere to social distancing protocols relat… https://t.co/UcyafXOnhs"
"216","COVID <U+0001F440> https://t.co/QJ99qgFgHl"
"217","@BrettRSmith76 Right? Covid is cured ya'all..come on back to work"
"218","@mikegalsworthy Death from Covid?"
"219","Our city had the 1st Covid outbreak on the east coast.
We flattened the curve and went all the way down to 24 cases… https://t.co/58B9FcdMB5"
"220","@moomkje @ctvwinnipeg People who recover from covid have been reinfected . So you’re wrong"
"221","@DollarGeneral your store on New Market in VA is so dirty that I'm worried I will catch Covid-19 there. Now you wan… https://t.co/fJbnzfX37c"
"222","@OANN @christina_bobb OAN and Fox ""News"" are the enabler of deaths, whether it be from climate change, Covid or ins… https://t.co/LHmJAJyeOU"
"223","I really wish COVID would just go away. @DukeCambridgeUK @PHarryWales @Annie_1950 @GoumbaJohnny @MikeBloomberg… https://t.co/kGQojctB9S"
"224","Oh well, what if covid gets her?"
"225","#GiletsJaunes <U+0001F621> <U+0001F637> Insupportable <U+0001F91C> 

https://t.co/Ex1uzvEtEv"
"226","yo any rec's for little covid-friendly rentals driving distance from DC? e.g. cabins etc (wifi optional this is for relaxation purposes)"
"227","We're back baby!
NEW VENUE, NEW NIGHTS, NEW COVID SAFE PLAN.
Head to FB, Insta, or Team App for all the details.… https://t.co/cM0PS41xyd"
"228","Son possibly dropping tonight.

I guess I’ll be pulling the trigger on Son &gt;&gt; KDB &amp; hoping that no more Covid nonse… https://t.co/LSKoPGZl0Y"
"229","What’s the black market for COVID vaccines looking like? I’d pay like $50 extra"
"230","Got my first Pfizer covid 19 vaccine dose!"
"231","@Iavashipping was given a chance and chose not to. Fuck that
the venn diagram of people who dont think covid is rea… https://t.co/VVUgo94Iae"
"232","Got my first dose covid vaccine today feeling good about this choice I hope everyone gets the vaccine save lives ! https://t.co/UdzqHGSLyN"
"233","feeling like shit, want covid gone so i can get coked up at parties again"
"234","@DWUhlfelderLaw Upset about Parler, huh? Have you talked to your AG about the insurrection? Bet you don't give a sh… https://t.co/MYLhlLKrMn"
"235","This is the exact point I tried to make to a friend I met while dog-walking this afternoon. Lockdowns may help when… https://t.co/Ox77zHKxyX"
"236","@stilldabeast73 @604vtwopointoh I would contact the labor board since you should be protected under the FMLA act since your wife had COVID."
"237","About 4000 people a day are dying of #COVID19 in the US. Many say that’s an underestimate. Those deaths are avoidab… https://t.co/pEbmaZ37zJ"
"238","COVID-19: Tory MP warns Boris Johnson his leadership could be 'on the table' - but swiftly backs down - Sky News https://t.co/9f88vTpJ4L"
"239","@bastardly_dick I don't get the being exempt. During the war, nobody felt the need to be exempt from wearing a gas… https://t.co/hllGkOiwW4"
"240","@mark_otabor @BadmusTbt baba.., COVID by the name sef...,e be like HORROR film....na scape goat disease ... other o… https://t.co/PSmLOGsbax"
"241","I Pray my dad beats this Covid idem man...fuck man"
"242","@Info_Aus Is this the very same quarantine service that has left all Covid 19 quarantine decisions up to the states… https://t.co/plfM4xXJim"
"243","@trishgreenhalgh are watching every professional who speaks up for long COVID patients, desperately hoping they wil… https://t.co/S9Ufr1gIqc"
